title,price_raw,price,is_negotiable,date_raw,date,category_path,level1,level2,level3,level4,region,city,district,link
"Nowa felga stalowa 6x15 ET44 5x108x60,1 Kangoo , Citan , NV250",209 zł,209,False,Dzisiaj o 15:28,2026-05-05,Motoryzacja > Opony i Felgi > Felgi,Motoryzacja,Opony i Felgi,Felgi,,Mazowieckie,Warszawa,Białołęka,https://www.olx.pl/d/oferta/nowa-felga-stalowa-6x15-et44-5x108x60-1-kangoo-citan-nv250-CID5-ID19hFOA.html?search_reason=search%7Corganic
"Kurtka oversize ze sztucznej skóry, S",190 zł,190,False,Dzisiaj o 15:28,2026-05-05,Moda > Ubrania damskie > Odzież wierzchnia > Kurtki skórzane,Moda,Ubrania damskie,Odzież wierzchnia,Kurtki skórzane,Mazowieckie,Warszawa,Bemowo,https://www.olx.pl/d/oferta/kurtka-oversize-ze-sztucznej-skory-s-CID87-ID18A8qO.html?search_reason=search%7Corganic
Konsola XBOX 360 - Sklep Będzie Granie Bielsko-Biała,350 zł,350,False,Dzisiaj o 15:28,2026-05-05,Elektronika > Gry i Konsole > Konsole > Xbox,Elektronika,Gry i Konsole,Konsole,Xbox,Śląskie,Bielsko-Biała,,https://www.olx.pl/d/oferta/konsola-xbox-360-sklep-bedzie-granie-bielsko-biala-CID99-ID18A8po.html?search_reason=search%7Corganic
"Rower szosowy Trek 2.5 Alpha, rozmiar 54 cm (170–180 cm)",1 699 zł,1699,False,Odświeżono dnia 04 maja 2026,2026-05-04,Sport i Hobby > Rowery > Rowery szosowe,Sport i Hobby,Rowery,Rowery szosowe,,Mazowieckie,Marki,,https://www.olx.pl/d/oferta/rower-szosowy-trek-2-5-alpha-rozmiar-54-cm-170180-cm-CID767-ID16slrT.html?search_reason=search%7Cpromoted
Drzwi Garażowe NA WYMIAR Brama Garażowa Uchylna Podnoszona 200 x 200cm,1 873 zł,1873,False,Odświeżono dnia 30 kwietnia 2026,2026-04-30,Budowa i Remont > Bramy garażowe,Budowa i Remont,Bramy garażowe,,,Pomorskie,Gdynia,Cisowa,https://www.olx.pl/d/oferta/drzwi-garazowe-na-wymiar-brama-garazowa-uchylna-podnoszona-200-x-200cm-CID5216-IDK0bGn.html?search_reason=search%7Cpromoted
Kosiarka Traktorek Viking 23km t6 pompa oleju,7 900 zł,7900,False,Odświeżono dzisiaj o 11:39,2026-05-05,Dom i Ogród > Ogród > Kosiarki > Traktorki,Dom i Ogród,Ogród,Kosiarki,Traktorki,Podkarpackie,Blizne,,https://www.olx.pl/d/oferta/kosiarka-traktorek-viking-23km-t6-pompa-oleju-CID628-ID1afdUU.html?search_reason=search%7Cpromoted
Mężczyźni bez kobiet Murakami,18 złdo negocjacji,18,True,Dzisiaj o 15:32,2026-05-05,Muzyka i Edukacja > Książki > Literatura,Muzyka i Edukacja,Książki,Literatura,,Wielkopolskie,Poznań,Grunwald,https://www.olx.pl/d/oferta/mezczyzni-bez-kobiet-murakami-CID751-ID1aw8Wr.html?search_reason=search%7Corganic
ASUS Ascent GX10 | AI Supercomputer NVIDIA GB10 | 128GB | 1TB,15 950 zł,15950,False,Dzisiaj o 15:32,2026-05-05,Elektronika > Komputery > Komputery stacjonarne,Elektronika,Komputery,Komputery stacjonarne,,Mazowieckie,Warszawa,Ochota,https://www.olx.pl/d/oferta/asus-ascent-gx10-ai-supercomputer-nvidia-gb10-128gb-1tb-CID99-ID1aw8Rk.html?search_reason=search%7Corganic
Schowek pasażera Tesla Model 3 NR.1771993-00-H.,"249,99 złdo negocjacji",24999,True,Dzisiaj o 15:32,2026-05-05,,,,,,,,,https://www.otomoto.pl/oferta/schowek-pasazera-tesla-model-3-nr-1771993-00-h-ID6HT5mQ.html
Koparka | Roboty ziemne | Utwardzenia I Transport I Bochnia i okolice,,,False,Odświeżono dzisiaj o 15:32,2026-05-05,Usługi > Usługi budowlane i remontowe > Prace zewnętrzne,Usługi,Usługi budowlane i remontowe,Prace zewnętrzne,,Małopolskie,Bochnia,,https://www.olx.pl/d/oferta/koparka-roboty-ziemne-utwardzenia-i-transport-i-bochnia-i-okolice-CID4371-ID19P3pv.html?search_reason=search%7Corganic
